business_types,legal_form,authorized_capital(thousands),revenue(millions),net_profit(millions),from
11,2,486067,36637,23335.65407514508,7
10,6,519104,97616,13366.521163065318,30
7,2,667353,88822,76449.58380416493,20
4,2,829103,33729,9256.308854116987,2
12,3,557265,63525,33529.09188984149,36
9,3,642739,80860,29945.420008143545,23
4,5,518151,37211,23023.609666173885,1
3,3,688147,98183,33962.6140011163,14
10,5,147502,88921,46664.87402983514,8
5,2,847726,47824,29916.735562387857,2
6,6,735875,26125,24579.000911669144,15
16,4,689316,20991,7992.080846789587,37
7,2,886544,88581,78062.64207764815,7
15,3,200030,305,136.98364032234855,21
19,4,539357,21985,4915.739774737808,2
10,1,725652,17020,1934.351739607161,39
6,6,447271,67274,20921.518641252707,48
4,2,377886,72068,62660.93511776024,46
9,3,266028,70505,59482.79823594047,41
6,6,285581,62409,59137.47751418654,32
5,1,172868,30647,14704.419647037505,41
12,4,573797,80698,77338.67683432544,47
16,3,795980,51653,50981.18715717176,14
1,5,387706,41853,9596.553395686013,16
4,4,933424,88385,45399.19347561471,12
1,5,959925,59450,42985.286191683546,0
9,2,752406,58497,4447.811667061365,47
8,5,492210,92471,89996.78548265916,20
1,5,244104,40367,18024.802179606286,35
21,1,261416,71386,44189.71699072062,3
9,6,172349,13830,1145.3070984602623,9
5,1,602245,38732,6605.646651855311,23
18,5,557794,75849,64828.4599466631,32
18,5,113253,79939,72095.72134789915,6
10,2,845855,87239,55122.74130203418,44
17,1,33998,64747,27263.41083170594,45
17,1,882885,61044,45476.61626713255,17
21,4,871511,39263,32812.18256943217,5
9,4,417007,79768,7397.091378253964,7
14,6,963887,35493,13513.327053147126,45
18,3,660664,67028,29913.46770791421,32
15,6,4200,35229,3375.994195795033,44
21,1,322843,73037,7623.014701502315,17
16,5,433608,93071,91992.16735749636,32
8,6,354102,9549,5875.390593907484,18
13,5,680646,98790,79773.57292895346,32
9,6,526619,73857,34972.74522341695,39
2,1,324641,82152,44048.114420747734,27
17,1,776471,39370,34199.71600945058,30
10,4,376017,58995,32277.066047424305,24
15,4,289098,21050,8023.875330722163,31
9,1,522472,50628,46145.34735084976,28
8,4,539246,87905,80125.4832972558,18
17,6,250955,68496,20300.453423501956,12
1,6,29426,92203,71054.15286700727,25
16,3,714991,73847,14289.944930437694,45
19,2,52938,77944,7370.604064942383,43
16,5,830882,99527,1724.0302388698028,16
18,4,736149,21663,6034.863605690466,22
1,6,104402,49501,6594.432725189704,38
16,2,231923,1335,875.2331311298213,10
5,3,843770,86900,22072.798886814275,7
11,6,419032,32997,24996.769124912196,25
12,1,938677,99906,78355.97870599564,16
10,2,136409,86146,57884.54460481262,21
17,5,420186,83397,10365.46341428355,47
11,6,282852,58776,51373.53927375641,34
13,2,128321,17860,15113.249400073399,40
19,4,389,81568,44391.353479878744,35
12,1,490498,58965,58754.06498314328,9
6,3,945992,30318,14448.43453095033,4
11,2,55546,7205,1989.9142161162433,13
17,3,982747,28851,13348.308483441993,13
17,5,350260,15064,2082.7018469586915,39
10,6,762349,43668,35354.764110190874,7
8,2,751685,33032,26643.706788406333,6
3,2,256216,58457,14496.948469961153,26
2,5,43065,90527,41004.05290185991,14
5,3,2008,55548,5355.53771007193,41
20,2,864138,57770,28338.247418414965,28
9,3,531372,98554,77518.42496310377,12
15,6,33254,43835,39339.839027385766,42
11,2,861520,66209,15472.145955356325,14
1,1,334413,61895,33070.24300298113,19
21,3,761234,9145,2536.9842711969545,21
3,3,758014,50290,7479.750479393509,6
6,4,427865,47053,39048.56507424681,0
20,3,343545,64194,40534.19655010332,42
6,5,507535,81009,60014.13358851595,4
14,5,475464,21187,2038.0700302709645,3
8,3,89491,63152,24040.572087862063,18
5,5,583758,88191,48266.76111657036,39
6,2,698790,62510,53363.26007398795,16
2,6,863673,50239,27566.65419880397,22
15,5,824004,35976,34531.737440537145,12
18,5,264778,41310,26623.56258927792,27
4,1,587129,67768,13667.481620082961,46
18,1,519097,20997,12101.990759115333,35
6,3,40424,82889,4780.304219308315,43
12,3,312092,71419,40899.43765336113,21
12,6,507068,8061,6626.1767392825495,35
21,1,369453,33269,30091.179353777523,20
9,4,473055,88931,34698.770734130354,27
2,2,577946,6929,5015.187018677955,2
17,4,422267,70593,23400.542327980656,6
11,6,864773,21947,2990.28816098596,2
13,1,954067,67427,15014.318739247727,1
4,6,120440,76334,48260.424633973584,9
3,4,638042,74308,51686.05010814345,0
7,2,4308,64528,21338.300555076567,36
15,5,730747,90813,40589.236962338764,47
6,3,100751,70352,51821.17539842041,30
7,1,354338,9743,1997.3711239904983,14
12,6,212715,46664,41140.147502726875,28
16,6,750213,30637,26549.904027348133,7
8,1,144367,59311,14324.21270434025,32
6,2,259988,72875,13618.609584137741,4
21,2,486465,62407,33054.200047891725,19
1,5,293690,51547,13933.994385052196,24
13,2,371903,51494,1738.048873436254,15
20,2,662568,80800,3716.2554124495828,31
11,4,844019,19520,17507.51876970881,47
17,6,434461,22378,443.2710229397144,24
19,4,858820,14111,4337.390847518109,4
17,5,84929,47376,2116.56692245895,14
10,3,367464,55837,14031.171789651173,24
18,1,870879,30292,3075.0065125039873,40
13,6,723127,66658,2904.9513857634283,16
1,4,616144,34698,14138.535822920125,35
9,3,796121,76559,73563.26969398494,36
18,5,881085,35038,31000.935111728417,22
3,3,509592,9504,6759.118738992541,21
16,5,129048,87706,20055.34401470272,47
4,4,554566,76038,58758.92695624294,10
1,5,14822,87629,78902.52496416098,18
7,6,267137,42897,15829.639707158856,40
17,5,945142,50367,21799.367429363323,19
6,3,136121,43093,586.4806971451685,16
5,4,636645,37465,12447.942024716416,2
6,4,447148,1177,858.4865296127667,22
4,3,337793,4715,2261.2542827101915,9
13,1,412842,60422,41238.99784144592,4
21,2,78100,73827,9852.122370682824,12
8,2,816841,53339,38519.7073617104,33
21,6,673106,85775,21056.146681765415,1
10,2,498958,61909,58679.32026582207,19
19,6,110206,47008,11634.525577395028,47
15,2,324233,18205,15255.32843135073,42
19,4,59239,65799,51876.86575474774,38
4,3,183688,37014,29491.905099616008,47
19,1,320113,24058,10029.029517931263,48
9,5,772328,1900,785.1956406310226,18
15,5,145325,17188,2644.1836713931075,18
8,5,1377,80504,26009.27326168759,3
5,6,527283,1008,1001.5918120932664,8
17,1,708998,51651,4501.637887522887,14
21,5,970743,31232,18097.47891535212,47
13,1,885229,27850,21530.113842169685,38
20,1,61358,42039,1521.8053247891232,0
14,3,147489,89620,38942.2257113566,15
15,1,643165,61033,57177.096081219854,48
3,4,211993,17649,10835.422247666083,36
8,6,327553,60286,57764.58311504584,21
7,6,829348,67064,55923.32472531025,24
9,4,226632,9872,8470.492239541989,28
7,3,171518,77888,26107.831985942095,12
19,1,546411,69480,8476.386330898576,33
19,4,901983,82318,41123.81948774203,36
7,2,605889,34474,15467.891484126334,30
9,5,53742,33516,7103.283626537607,8
14,6,511629,22097,6979.991545266607,24
1,1,446391,20297,16790.192011933304,4
18,1,573207,61651,8575.217267799464,16
12,6,484491,59400,40875.53209939118,46
6,1,501451,64156,5595.041458065684,36
12,6,784599,98402,25855.16338437587,13
16,3,270184,23285,6630.142795487639,25
20,1,815679,57148,26052.579995676457,22
11,1,347694,90583,89220.88884425808,11
5,2,922460,15469,3168.8080755384253,28
10,2,82307,58485,221.60413035726975,1
8,6,43018,34646,12874.952339314397,28
7,6,101654,78874,20357.417347074777,16
17,4,450833,19520,9697.802013577977,24
9,4,926290,29119,16299.921830906376,14
12,6,910694,17848,3786.7355841004414,45
6,1,365865,63724,1212.6517600666728,46
