age,sex,zagran_passport,driver_license,credit_sum,family_status,children_dependents,work_experience,income,additional_income,additional_income_type,car_price,from
26,2,1,1,844,2,0,7,89,15,6,0,18
59,2,1,0,747,2,0,12,86,13,1,0,14
61,2,1,1,345,2,0,22,143,10,3,4284,12
23,2,0,0,214,2,0,4,63,22,1,0,34
50,2,0,0,4837,1,2,9,49,84,5,0,0
70,2,1,1,355,2,0,12,133,43,1,4048,17
36,1,1,1,390,1,0,4,27,31,6,1624,20
58,2,1,1,0,1,1,33,156,40,7,0,25
32,2,0,1,975,2,0,3,48,57,7,3360,48
55,1,1,0,90,1,0,34,67,93,5,0,23
54,1,0,1,4567,1,0,32,31,49,6,1760,26
44,1,0,1,419,2,0,8,117,34,1,0,44
55,2,0,1,89,1,1,10,157,9,6,0,34
77,1,1,1,957,2,0,0,90,36,1,3276,46
62,1,0,1,332,1,0,36,81,5,9,1978,33
47,1,0,1,3759,3,0,13,87,11,6,0,1
31,2,0,1,171,4,3,0,39,63,7,0,39
71,1,0,0,864,2,0,16,104,0,2,0,10
41,1,1,0,515,3,1,21,63,5,3,0,41
56,2,0,1,632,2,0,10,181,51,8,0,25
79,2,0,1,227,4,1,29,76,18,9,2820,6
30,2,0,1,957,3,3,9,72,92,2,2624,24
30,1,0,1,885,1,0,6,53,17,4,1960,51
33,2,0,1,715,3,2,4,51,18,4,1449,21
35,2,1,1,944,1,1,12,83,15,3,0,41
21,2,1,1,624,1,0,1,174,17,7,0,20
19,2,0,0,845,1,2,0,88,4,1,0,19
44,1,0,0,964,1,2,18,73,36,9,0,51
41,2,0,1,962,1,1,17,108,9,2,3510,31
32,1,0,1,445,1,0,7,64,8,9,2232,17
35,2,0,1,119,1,3,0,75,21,7,1632,5
72,1,0,1,0,2,0,3,95,33,4,2176,39
20,1,0,1,613,3,1,0,47,15,9,0,44
43,1,1,1,319,4,3,12,157,72,6,0,2
47,2,1,0,571,1,0,2,94,49,7,0,39
41,1,0,1,315,3,3,13,56,3,5,708,47
33,1,1,1,641,1,3,3,60,21,8,1782,29
23,2,1,1,3873,3,0,0,45,27,3,1512,13
53,1,0,1,4545,2,0,5,159,32,5,4393,35
69,2,0,1,710,1,1,29,93,49,2,2130,33
73,1,0,0,697,1,1,34,57,94,7,0,45
27,1,1,0,772,2,0,0,113,4,7,0,12
61,1,1,1,4377,2,0,11,124,4,2,0,16
32,2,1,1,307,2,0,3,166,30,3,0,9
61,2,0,1,0,2,0,3,41,40,5,0,12
57,1,1,1,4009,1,0,26,117,44,8,3864,42
39,1,0,1,442,3,2,17,93,18,7,2442,3
41,2,1,0,963,2,0,12,163,33,8,0,15
81,2,0,1,54,1,1,28,62,1,4,0,18
49,2,0,1,954,2,0,3,118,25,4,4147,41
31,2,1,1,905,2,0,2,193,36,5,0,32
