Услуга,Услуга закрывает потребность Чью?,Компания Партнер,Закрывает потребность 1 какую?,Закрывает потребность 2 какую?,Кросс-услуга,Кросс-услуга для кого???
- автокредиты B2C,Для физических лиц,Экспобанк,Транспорт,Деньги,,
- автокредиты С2С,Для физических лиц,Экспобанк,Транспорт,Деньги,,
- кредиты под залог автомобиля,Для физических лиц,Экспобанк,Деньги,Транспорт,,
- кредиты под залог недвижимости,Для физических лиц,Экспобанк,Деньги,Недвижимость,,
- дебетовые карты,Для физических лиц,Экспобанк,Удобство и Финансовые расчеты,Финансовая безопасность,,
- кредитные карты,Для физических лиц,Экспобанк,Деньги,Комфорт и удобство,,
- вклады и накопительные счета,Для физических лиц,Экспобанк,Сохранение сбережений,Спокойствие и уверенность,,
- ИИС,Для физических лиц,Экспобанк,Увеличение сбережений,Налоговые льготы и вычеты,,
- валюта,Для физических лиц,Экспобанк,Сохранение сбережений,Спокойствие и уверенность,,
- инвестиционное консультирование,Для физических лиц,Экспобанк,Увеличение сбережений,Прозрачность и безопасность,,
- драгоценные металлы на Мосбирже,Для физических лиц,Экспобанк,Сохранение сбережений,Прозрачность и безопасность,,
- драгоценные металлы в слитках и монетах,Для физических лиц,Экспобанк,Сохранение сбережений,Прозрачность и безопасность,,
- металлические счета,Для физических лиц,Экспобанк,Сохранение сбережений,Прозрачность и безопасность,,
- страхование от Д2 миниКаско,Для физических лиц,Экспобанк,Финансовая безопасность,Транспорт,,
- страхование от Д2 е-Осаго,Для физических лиц,Экспобанк,Спокойствие и уверенность,Финансовая безопасность,,
- страхование от Д2 защита процентов по вкладу,Для физических лиц,Экспобанк,Финансовая безопасность,Увеличение сбережений,,
- страхование от Д2 семейное страхование жизни и здоровья от НС и ДТП,Для физических лиц,Экспобанк,Спокойствие и уверенность,Финансовая безопасность,,
- аренда сейфов,Для физических лиц,Экспобанк,Спокойствие и уверенность,Защита от краж и утрат,,
- премиальное обслуживание ,Для физических лиц,Экспобанк,Комфорт и удобство,Привилегии и бонусы,,
- обслуживание ВЭД,ЮЛ,Экспобанк,Упрощение международных торговых операций,Финансовая безопасность,,
- кредиты,ЮЛ,,Деньги,Комфорт и удобство,,
- расчетные счета,ЮЛ,Экспобанк,Удобство и Финансовые расчеты,Управление финансовыми потоками,,
- депозиты,ЮЛ,Экспобанк,Сохранение сбережений,Управление финансовыми потоками,,
- бизнес-карта,ЮЛ,Экспобанк,Комфорт и удобство,Привилегии и бонусы,,
- зарплатный проект,ЮЛ,Экспобанк,Удобство и Финансовые расчеты,Управление финансовыми потоками,,
